City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Ijui,BR,2021-01-28 00:19:09,-28.3878,-53.9147,71.8,93,70,6.6
223,Morondava,MG,2021-01-28 00:19:09,-20.2833,44.2833,81.99,74,2,2.26
224,Valdivia,CL,2021-01-28 00:19:10,-39.8142,-73.2459,59.0,82,40,6.91
225,Gorontalo,ID,2021-01-28 00:19:04,0.5412,123.0595,80.31,76,82,4.81
226,Sao Paulo De Olivenca,BR,2021-01-28 00:19:10,-3.3783,-68.8725,74.82,96,96,2.46
227,Esperance,AU,2021-01-28 00:05:47,-33.8667,121.9,66.2,77,90,9.22
228,Kafue,ZM,2021-01-28 00:19:11,-15.7691,28.1814,68.0,100,75,1.14
229,Piripiri,BR,2021-01-28 00:19:11,-4.2733,-41.7769,74.95,88,92,2.84
230,Catarman,PH,2021-01-28 00:19:11,12.4989,124.6377,77.83,89,100,11.43
231,Bahia Blanca,AR,2021-01-28 00:19:11,-38.7196,-62.2724,69.48,46,80,9.53
232,Lubao,PH,2021-01-28 00:19:12,14.9167,120.55,77.0,83,75,2.3
233,Igbaras,PH,2021-01-28 00:19:13,10.7157,122.2657,80.06,74,100,13.06
234,Novo Aripuana,BR,2021-01-28 00:19:13,-5.1206,-60.3797,75.65,93,99,1.74
235,Manacapuru,BR,2021-01-28 00:19:11,-3.2997,-60.6206,78.8,89,20,3.44
236,Lakatoro,VU,2021-01-28 00:19:13,-16.0999,167.4164,78.13,87,100,8.77
237,Faanui,PF,2021-01-28 00:05:11,-16.4833,-151.75,81.55,73,2,13.15
238,Yulara,AU,2021-01-28 00:05:51,-25.2406,130.9889,78.8,65,97,14.97
239,Cabo San Lucas,MX,2021-01-28 00:09:33,22.8909,-109.9124,71.01,60,1,5.75
240,Broome,US,2021-01-28 00:05:34,42.2506,-75.833,25.0,86,90,6.91
241,Kampong Cham,KH,2021-01-28 00:19:14,11.9934,105.4635,73.26,77,99,4.05
242,Sao Filipe,CV,2021-01-28 00:10:34,14.8961,-24.4956,73.8,69,0,4.94
243,Bathsheba,BB,2021-01-28 00:11:24,13.2167,-59.5167,78.8,69,40,16.11
244,Gizo,SB,2021-01-28 00:10:22,-8.103,156.8419,85.95,71,87,13.31
245,Klaksvik,FO,2021-01-28 00:10:00,62.2266,-6.589,32.0,74,75,9.22
246,Bekhtery,UA,2021-01-28 00:19:16,46.251,32.2927,45.86,90,100,14.97
247,Guilin,CN,2021-01-28 00:15:32,25.2819,110.2864,48.2,87,90,2.24
248,Port Blair,IN,2021-01-28 00:11:02,11.6667,92.75,78.37,83,95,11.1
249,San Cristobal,VE,2021-01-28 00:10:21,7.7669,-72.225,82.4,61,40,6.91
250,Kasungu,MW,2021-01-28 00:19:17,-13.0333,33.4833,65.16,90,100,1.25
251,Khatanga,RU,2021-01-28 00:09:58,71.9667,102.5,-30.73,80,0,7.05
252,Tiznit,MA,2021-01-28 00:15:10,29.5833,-9.5,63.63,39,0,2.66
253,Erzin,TR,2021-01-28 00:19:17,36.9559,36.2,55.99,84,99,3.87
254,Coquimbo,CL,2021-01-28 00:09:35,-29.9533,-71.3436,60.8,82,0,10.36
255,Novikovo,RU,2021-01-28 00:19:18,51.1537,37.8879,34.63,91,100,13.67
256,Santa Marta,CO,2021-01-28 00:19:18,11.2408,-74.199,82.0,67,100,15.23
257,Werda,BW,2021-01-28 00:19:18,-25.2667,23.2833,72.91,34,83,1.19
258,Kinablangan,PH,2021-01-28 00:19:19,7.6947,126.5503,78.12,80,100,5.41
259,Eyl,SO,2021-01-28 00:19:19,7.9803,49.8164,70.68,77,40,16.8
260,Cherskiy,RU,2021-01-28 00:05:37,68.75,161.3,-23.48,85,100,4.9
261,Colares,PT,2021-01-28 00:19:19,38.7992,-9.4469,57.99,88,100,3.0
262,Meulaboh,ID,2021-01-28 00:09:45,4.1363,96.1285,75.15,83,99,4.83
263,Costinesti,RO,2021-01-28 00:19:20,43.95,28.6333,30.2,93,90,20.71
264,Lasa,IT,2021-01-28 00:10:55,46.6166,10.7002,28.0,85,100,5.84
265,Ancud,CL,2021-01-28 00:06:20,-41.8697,-73.8203,59.0,72,75,8.05
266,Aripuana,BR,2021-01-28 00:19:21,-9.1667,-60.6333,73.9,98,81,2.35
267,Vila Velha,BR,2021-01-28 00:06:31,-20.3297,-40.2925,78.8,73,0,2.3
268,Baghdad,IQ,2021-01-28 00:05:45,33.3406,44.4009,60.8,33,20,17.27
269,Doha,QA,2021-01-28 00:09:58,25.2867,51.5333,59.0,77,0,2.3
270,Huangnihe,CN,2021-01-28 00:19:21,43.5583,128.0239,3.87,93,100,2.89
271,Olinda,BR,2021-01-28 00:10:56,-8.0089,-34.8553,78.8,69,75,9.22
272,Marawi,PH,2021-01-28 00:19:22,7.9986,124.2928,72.0,80,88,5.99
273,Loreto,MX,2021-01-28 00:19:22,22.2667,-101.9667,65.95,49,52,23.44
